"","State","X1900","X1901","X1902","X1903","X1904","X1905","X1906","X1907","X1908","X1909","X1910","X1911","X1912","X1913","X1914","X1915","X1916","X1917","X1918","X1919","X1920","X1921","X1922","X1923","X1924","X1925","X1926","X1927","X1928","X1929","X1930","X1931","X1932","X1933","X1934","X1935","X1936","X1937","X1938","X1939","X1940","X1941","X1942","X1943","X1944","X1945","X1946","X1947","X1948","X1949","X1950census","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960census.x","X1960census.y","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970census","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980.x","X1980.y","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990.x","X1999","X1998","X1997","X1996","X1995","X1994","X1993","X1992","X1991","X1990.y","census1990","census2000","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","census2010.x","X2010.x","census2010.y","EstimatesBase","X2010.y","X2011","X2012","X2013","X2014","X2015"
"11","CT",910000,931000,952000,972000,987000,1010000,1033000,1057000,1077000,1097000,1122000,1149000,1176000,1208000,1233000,1258000,1294000,1327000,1329000,1359000,1391000,1415000,1431000,1455000,1481000,1506000,1531000,1557000,1577000,1594000,1613000,1628000,1637000,1642000,1650000,1666000,1672000,1678000,1684000,1696000,1708000,1746000,1792000,1792000,1778000,1769000,1906000,1967000,2014000,2032000,2007000,2016000,2028000,2081000,2168000,2249000,2300000,2316000,2359000,2446000,2523000,2535000,2535000,2544000,2586000,2647000,2727000,2798000,2857000,2903000,2935000,2964000,3e+06,3032000,3032217,3060938,3068699,3067814,3074047,3082500,3083335,3085722,3091627,3095917,3107576,3107576,3128836,3139013,3162354,3180014,3201131,3223740,3247291,3271953,3283403,3287116,3282031,3272563,3268514,3267030,3265293,3268346,3272325,3274997,3288640,3289056,3287116,"3,405,650","3,411,777","3,432,835","3,458,749","3,484,336","3,496,094","3,506,956","3,517,460","3,527,270","3,545,579","3,561,807","3,574,097","3,577,073","3,574,097","3,574,118","3,579,717","3,589,759","3,593,541","3,597,168","3,594,762","3,590,886"
"12","DC",278000,285000,290000,295000,302000,308000,313000,317000,321000,327000,334000,344000,340000,358000,368000,361000,360000,385000,418000,445000,440000,446000,450000,453000,456000,461000,469000,476000,479000,483000,488000,504000,513000,529000,568000,608000,629000,616000,638000,658000,690000,764000,851000,9e+05,881000,876000,899000,888000,840000,807000,802000,806000,808000,805000,810000,791000,785000,759000,763000,757000,761000,764000,764000,765000,778000,788000,798000,798000,797000,791000,791000,778000,762000,757000,756668,749781,742241,731488,717947,706871,692295,677228,665052,650016,638333,638333,636893,634174,632433,633382,634549,638269,636930,630432,624168,606900,519000,521426,528752,538273,551273,564982,576358,584183,593239,603814,606900,"572,086","572,046","574,504","573,158","568,502","567,754","567,136","570,681","574,404","580,236","592,228","601,723","604,453","601,723","601,767","605,126","620,472","635,342","649,540","659,836","672,228"
"13","DE",185000,187000,188000,190000,192000,194000,196000,197000,199000,201000,203000,207000,209000,213000,216000,217000,219000,222000,220000,221000,219000,216000,214000,215000,219000,222000,225000,229000,233000,236000,239000,242000,245000,248000,250000,252000,253000,254000,257000,263000,269000,275000,279000,282000,285000,286000,299000,305000,312000,316000,318000,321000,331000,341000,351000,368000,389000,408000,426000,433000,441000,446000,446000,449000,461000,469000,483000,497000,507000,516000,525000,534000,540000,548000,548104,564708,572913,577759,581418,586589,590166,591829,594776,594984,594338,594338,595975,599148,605458,611565,618280,627559,636947,647622,658273,666168,753538,744066,735024,727090,718265,708416,699475,690158,680495,669063,666168,"783,559","786,373","795,699","806,169","818,003","830,803","845,150","859,268","871,749","883,874","891,730","897,934","899,769","897,934","897,936","899,791","907,916","917,099","925,353","935,968","945,934"
"14","FL",530000,544000,565000,587000,599000,615000,628000,645000,684000,724000,756000,773000,801000,828000,871000,922000,924000,895000,865000,898000,962000,997000,1044000,1097000,1160000,1264000,1368000,1418000,1433000,1445000,1471000,1493000,1521000,1552000,1585000,1613000,1651000,1709000,1771000,1836000,1915000,2017000,2151000,2451000,2420000,2465000,2440000,2528000,2578000,2668000,2771000,2810000,2980000,3157000,3310000,3505000,3747000,4047000,4372000,4630000,4808000,4952000,4952000,5004000,5243000,5458000,5628000,5781000,5954000,6104000,6242000,6433000,6641000,6789000,6791418,7158304,7511463,7913696,8298762,8518422,8667379,8856183,9102032,9426159,9746324,9746324,10192774,10471407,10749851,11039925,11351118,11667505,11997283,12306395,12637715,12937926,15111244,14908230,14683350,14426911,14185403,13961798,13713593,13504775,13289497,13018365,12938071,"15,982,571","16,047,515","16,356,966","16,689,370","17,004,085","17,415,318","17,842,038","18,166,990","18,367,842","18,527,305","18,652,644","18,801,310","18,843,326","18,801,310","18,804,623","18,849,890","19,105,533","19,352,021","19,594,467","19,905,569","20,271,272"
"15","GA",2220000,2263000,2305000,2346000,2387000,2427000,2466000,2505000,2543000,2580000,2618000,2644000,2676000,2733000,2776000,2810000,2856000,2885000,2941000,2870000,2926000,2965000,2965000,2954000,2920000,2883000,2869000,2891000,2903000,2903000,2910000,2924000,2935000,2950000,2964000,2955000,2978000,3037000,3091000,3120000,3119000,3179000,3209000,3245000,3176000,3119000,3242000,3272000,3259000,3325000,3445000,3458000,3531000,3584000,3558000,3602000,3636000,3701000,3766000,3804000,3868000,3943000,3943000,3956000,4015000,4086000,4172000,4258000,4332000,4379000,4408000,4482000,4551000,4590000,4587930,4711550,4809490,4910374,4999419,5064075,5132812,5219697,5295751,5401384,5463105,5463105,5568345,5649792,5728250,5834954,5962661,6084666,6208467,6316142,6411099,6478216,7788240,7636522,7486094,7332225,7188538,7045900,6894092,6759474,6621279,6506531,6478149,"8,186,653","8,227,303","8,377,038","8,508,256","8,622,793","8,769,252","8,925,922","9,155,813","9,349,988","9,504,843","9,620,846","9,687,653","9,712,587","9,687,653","9,688,681","9,713,454","9,812,280","9,917,639","9,991,562","10,097,132","10,214,860"
"16","IA",2231000,2227000,2222000,2217000,2212000,2211000,2214000,2217000,2220000,2223000,2228000,2249000,2279000,2305000,2338000,2366000,2376000,2382000,2351000,2379000,2400000,2407000,2428000,2425000,2420000,2427000,2432000,2441000,2450000,2460000,2475000,2482000,2489000,2495000,2510000,2524000,2509000,2498000,2494000,2520000,2537000,2491000,2439000,2334000,2301000,2308000,2467000,2509000,2543000,2578000,2621000,2625000,2617000,2626000,2629000,2626000,2679000,2703000,2716000,2708000,2729000,2758000,2758000,2756000,2756000,2750000,2747000,2746000,2742000,2762000,2793000,2803000,2805000,2825000,2825368,2851705,2860287,2863715,2867530,2880847,2903082,2913573,2918069,2915739,2913808,2913808,2907983,2888189,2870543,2858618,2829684,2791970,2767011,2768388,2770592,2776755,2869413,2861025,2854396,2848473,2840860,2829422,2820525,2806923,2791227,2779769,2776831,"2,926,538","2,929,067","2,931,997","2,934,234","2,941,999","2,953,635","2,964,454","2,982,644","2,999,212","3,016,734","3,032,870","3,046,355","3,049,883","3,046,355","3,046,869","3,050,694","3,065,389","3,076,636","3,092,224","3,109,481","3,123,899"
"17","ID",163000,176000,199000,216000,229000,246000,262000,277000,291000,311000,329000,343000,359000,371000,384000,394000,405000,413000,405000,424000,433000,435000,436000,436000,434000,436000,441000,447000,449000,447000,447000,454000,459000,464000,473000,481000,495000,507000,513000,521000,522000,501000,478000,5e+05,529000,507000,509000,522000,551000,570000,589000,590000,589000,587000,596000,6e+05,618000,628000,642000,646000,657000,667000,667000,671000,684000,692000,683000,680000,686000,689000,688000,695000,707000,713000,713015,738753,763237,782074,807990,831982,856983,883469,910690,932627,943935,943935,962204,973721,981869,990839,994051,990224,984997,985664,994416,1006749,1251700,1230923,1210638,1187706,1165000,1135459,1101204,1066490,1038915,1011882,1006734,"1,293,957","1,299,430","1,319,962","1,340,372","1,363,380","1,391,802","1,428,241","1,468,669","1,505,105","1,534,320","1,554,439","1,567,582","1,571,450","1,567,582","1,567,652","1,570,986","1,584,134","1,596,097","1,612,785","1,634,806","1,654,930"
"18","IL",4828000,4914000,4992000,5071000,5161000,5241000,5309000,5384000,5474000,5567000,5668000,5757000,5828000,5961000,6109000,6194000,6274000,6313000,6275000,6392000,6663000,6858000,6958000,7068000,7215000,7306000,7395000,7519000,7576000,7606000,7644000,7687000,7736000,7768000,7772000,7797000,7840000,7857000,7866000,7890000,7905000,7995000,8057000,7761000,7719000,7601000,8155000,8341000,8552000,8670000,8712000,8738000,8790000,8956000,9065000,9252000,9435000,9530000,9668000,9886000,9986000,10081000,10081000,10086000,10130000,10280000,10402000,10580000,10693000,10836000,10947000,10995000,11039000,11114000,11110285,11202397,11251948,11251367,11262145,11291743,11342853,11386316,11412561,11396837,11426518,11426518,11443458,11423412,11408818,11412132,11399806,11387257,11391178,11390183,11409782,11430602,12128370,12069774,12011509,11953003,11884935,11804986,11725984,11635197,11535973,11446979,11430602,"12,419,927","12,434,161","12,488,445","12,525,556","12,556,006","12,589,773","12,609,903","12,643,955","12,695,866","12,747,038","12,796,778","12,830,632","12,843,166","12,830,632","12,831,549","12,841,249","12,861,882","12,875,167","12,889,580","12,882,189","12,859,995"
"19","IN",2518000,2541000,2567000,2594000,2614000,2635000,2663000,2679000,2677000,2678000,2713000,2751000,2785000,2824000,2857000,2873000,2897000,2910000,2880000,2906000,2947000,2976000,2965000,3042000,3086000,3119000,3148000,3191000,3212000,3226000,3242000,3257000,3281000,3304000,3319000,3332000,3348000,3374000,3386000,3403000,3433000,3483000,3507000,3449000,3440000,3427000,3702000,3779000,3877000,3958000,3934000,3967000,4096000,4148000,4182000,4264000,4363000,4458000,4529000,4583000,4613000,4662000,4662000,4674000,4730000,4736000,4799000,4856000,4922000,4999000,5053000,5093000,5143000,5194000,5195392,5253396,5302435,5338277,5361890,5365766,5389088,5425638,5470214,5501174,5490224,5490224,5480435,5467922,5450395,5458322,5459211,5454108,5473012,5491735,5523693,5544159,5942901,5907617,5872370,5834908,5791819,5745626,5701965,5648649,5602062,5555097,5544156,"6,080,827","6,091,866","6,127,760","6,155,967","6,196,638","6,233,007","6,278,616","6,332,669","6,379,599","6,424,806","6,459,325","6,483,802","6,490,621","6,483,802","6,484,229","6,490,590","6,516,845","6,538,283","6,570,518","6,597,880","6,619,680"
"20","KS",1473000,1490000,1505000,1498000,1527000,1555000,1576000,1612000,1629000,1658000,1692000,1684000,1671000,1663000,1662000,1687000,1727000,1748000,1729000,1756000,1769000,1779000,1799000,1808000,1807000,1825000,1836000,1836000,1850000,1867000,1883000,1881000,1883000,1877000,1868000,1872000,1869000,1856000,1842000,1824000,1788000,1765000,1760000,1796000,1779000,1731000,1805000,1853000,1892000,1925000,1905000,1916000,1950000,1977000,1994000,2042000,2093000,2119000,2128000,2142000,2160000,2179000,2179000,2183000,2215000,2231000,2217000,2209000,2206000,2200000,2197000,2216000,2236000,2249000,2249071,2246600,2256375,2265603,2269499,2280578,2301001,2320647,2335657,2350906,2363679,2363679,2384849,2401202,2415531,2424086,2427405,2432619,2445367,2461996,2472849,2477574,2654052,2638667,2616339,2598266,2586942,2569118,2547605,2526042,2495209,2480683,2477588,"2,688,925","2,693,681","2,702,162","2,713,535","2,723,004","2,734,373","2,745,299","2,762,931","2,783,785","2,808,076","2,832,704","2,853,118","2,859,169","2,853,118","2,853,132","2,858,824","2,869,917","2,886,281","2,894,630","2,902,507","2,911,641"
"21","KY",2148000,2162000,2177000,2191000,2205000,2220000,2234000,2249000,2263000,2278000,2299000,2324000,2347000,2374000,2395000,2401000,2411000,2421000,2425000,2413000,2421000,2436000,2450000,2480000,2531000,2520000,2545000,2551000,2567000,2606000,2623000,2652000,2676000,2698000,2722000,2748000,2768000,2784000,2800000,2825000,2859000,2824000,2797000,2693000,2631000,2597000,2761000,2803000,2817000,2849000,2945000,2936000,2941000,2920000,2903000,2902000,2910000,2898000,2928000,2961000,2999000,3038000,3038000,3041000,3054000,3079000,3096000,3129000,3140000,3147000,3172000,3195000,3198000,3219000,3220711,3298053,3335728,3371024,3416315,3467769,3529257,3573693,3609976,3641804,3660777,3660777,3670394,3683445,3694484,3695453,3694826,3687809,3683329,3679999,3677306,3685296,3960825,3934310,3907816,3881051,3855248,3823215,3792288,3756358,3714686,3692584,3686892,"4,042,193","4,049,021","4,068,132","4,089,875","4,117,170","4,146,101","4,182,742","4,219,239","4,256,672","4,289,878","4,317,074","4,339,367","4,346,266","4,339,367","4,339,349","4,347,937","4,367,882","4,382,667","4,398,500","4,412,617","4,425,092"
"22","LA",1384000,1412000,1440000,1467000,1495000,1523000,1551000,1579000,1607000,1634000,1667000,1695000,1709000,1727000,1740000,1755000,1799000,1795000,1746000,1756000,1813000,1847000,1871000,1903000,1939000,1972000,2005000,2039000,2064000,2086000,2105000,2124000,2155000,2178000,2202000,2228000,2246000,2257000,2285000,2334000,2370000,2484000,2546000,2565000,2508000,2429000,2556000,2579000,2596000,2634000,2684000,2697000,2769000,2842000,2866000,2883000,2946000,3032000,3115000,3155000,3208000,3257000,3257000,3260000,3287000,3345000,3377000,3446000,3496000,3550000,3581000,3603000,3619000,3643000,3644637,3710487,3761646,3788375,3820109,3886104,3950605,4014459,4068579,4137665,4205900,4205900,4283303,4352608,4395316,4400477,4408118,4406919,4344148,4288863,4252894,4219973,4372035,4362758,4351390,4338763,4327978,4306500,4284749,4270849,4240950,4219179,4221826,"4,469,035","4,471,885","4,477,875","4,497,267","4,521,042","4,552,238","4,576,628","4,302,665","4,375,581","4,435,586","4,491,648","4,533,372","4,544,228","4,533,372","4,533,479","4,544,951","4,575,381","4,603,676","4,627,491","4,648,990","4,670,724"
"23","MA",2788000,2794000,2856000,2924000,2969000,3018000,3107000,3183000,3251000,3316000,3365000,3383000,3440000,3534000,3636000,3705000,3726000,3738000,3695000,3785000,3882000,3951000,4010000,4057000,4102000,4154000,4194000,4223000,4217000,4229000,4250000,4248000,4259000,4282000,4305000,4343000,4355000,4358000,4365000,4347000,4318000,4389000,4370000,4257000,4192000,4201000,4494000,4580000,4674000,4741000,4691000,4686000,4654000,4650000,4806000,4910000,4882000,4891000,4929000,5010000,5117000,5149000,5149000,5160000,5219000,5263000,5344000,5448000,5502000,5535000,5594000,5618000,5650000,5689000,5689170,5737580,5760302,5781172,5773548,5757756,5743672,5738199,5736469,5738404,5737037,5737037,5768685,5771222,5799407,5840773,5880733,5902678,5935204,5979982,6015478,6016425,6175169,6144407,6115476,6085393,6062335,6031352,6010884,5993474,5998652,6018664,6016425,"6,349,364","6,361,104","6,397,634","6,417,206","6,422,565","6,412,281","6,403,290","6,410,084","6,431,559","6,468,967","6,517,613","6,547,629","6,557,254","6,547,629","6,547,817","6,565,036","6,611,797","6,657,780","6,708,810","6,755,124","6,794,422"
"24","MD",1189000,1200000,1210000,1209000,1217000,1237000,1251000,1257000,1269000,1289000,1302000,1324000,1345000,1368000,1389000,1401000,1415000,1428000,1467000,1445000,1464000,1492000,1509000,1521000,1537000,1556000,1576000,1599000,1610000,1621000,1636000,1657000,1678000,1694000,1710000,1729000,1745000,1754000,1766000,1793000,1839000,1913000,1998000,2089000,2118000,2096000,2214000,2248000,2271000,2329000,2343000,2355000,2441000,2500000,2567000,2685000,2742000,2811000,2873000,2982000,3066000,3101000,3101000,3113000,3176000,3263000,3386000,3492000,3600000,3695000,3757000,3815000,3868000,3922000,3923897,4018324,4073499,4097974,4118815,4139096,4150539,4169595,4183603,4191160,4216975,4216975,4261905,4282923,4313327,4365243,4413071,4486957,4565557,4657904,4727301,4781468,5171634,5130072,5092914,5057142,5023650,4985411,4942504,4902545,4856176,4797431,4780753,"5,296,647","5,311,034","5,374,691","5,440,389","5,496,269","5,546,935","5,592,379","5,627,367","5,653,408","5,684,965","5,730,388","5,773,552","5,785,982","5,773,552","5,773,785","5,788,409","5,844,171","5,890,740","5,936,040","5,975,346","6,006,401"
"25","ME",695000,699000,703000,709000,719000,723000,729000,731000,735000,740000,745000,751000,753000,763000,772000,774000,775000,777000,760000,762000,771000,775000,778000,781000,788000,792000,793000,796000,797000,797000,8e+05,807000,815000,821000,829000,836000,840000,842000,843000,846000,849000,852000,839000,806000,801000,8e+05,832000,854000,878000,903000,914000,917000,916000,915000,913000,927000,934000,938000,943000,944000,957000,969000,969000,975000,995000,994000,993000,993000,997000,999000,1004000,994000,992000,994000,993722,1015390,1034292,1045655,1059040,1071995,1088412,1103578,1113566,1122563,1124660,1124660,1133033,1136684,1144772,1155635,1162936,1170126,1184574,1203840,1219961,1227928,1253040,1247554,1245215,1241436,1237438,1237687,1238256,1235748,1235439,1231296,1227928,"1,274,779","1,277,072","1,285,692","1,295,960","1,306,513","1,313,688","1,318,787","1,323,619","1,327,040","1,330,509","1,329,590","1,328,361","1,327,567","1,328,361","1,328,361","1,327,695","1,328,257","1,328,888","1,328,778","1,330,256","1,329,328"
"26","MI",2423000,2450000,2477000,2505000,2534000,2579000,2626000,2693000,2722000,2771000,2832000,2916000,2997000,3101000,3183000,3263000,3353000,3451000,3499000,3591000,3723000,3872000,3942000,4063000,4214000,4331000,4451000,4589000,4665000,4795000,4834000,4798000,4780000,4780000,4798000,4838000,4889000,4968000,5056000,5156000,5315000,5472000,5549000,5405000,5467000,5475000,5874000,6076000,6213000,6332000,6372000,6407000,6497000,6650000,6822000,7066000,7285000,7467000,7569000,7667000,7767000,7823000,7823000,7834000,7893000,7933000,8058000,8187000,8357000,8512000,8630000,8696000,8781000,8875000,8881826,8974186,9028944,9077956,9117507,9117668,9129205,9171110,9217761,9266268,9262078,9262078,9209287,9115198,9047754,9049452,9076293,9127775,9187481,9217998,9253295,9295297,9863775,9820231,9785450,9739184,9659871,9584481,9529240,9470323,9395022,9310462,9295287,"9,938,823","9,952,450","9,991,120","10,015,710","10,041,152","10,055,315","10,051,137","10,036,081","10,001,284","9,946,889","9,901,591","9,883,640","9,877,574","9,883,640","9,884,129","9,877,369","9,876,589","9,886,879","9,900,506","9,916,306","9,922,576"
"27","MN",1754000,1805000,1862000,1901000,1945000,1981000,1987000,1995000,2020000,2051000,2086000,2119000,2147000,2190000,2234000,2273000,2308000,2329000,2291000,2346000,2403000,2434000,2451000,2487000,2521000,2540000,2560000,2588000,2592000,2572000,2576000,2614000,2646000,2673000,2695000,2717000,2734000,2746000,2753000,2771000,2790000,2718000,2662000,2577000,2526000,2537000,2734000,2796000,2868000,2935000,2982000,2997000,3010000,3030000,3050000,3113000,3172000,3240000,3274000,3313000,3366000,3414000,3414000,3425000,3470000,3513000,3531000,3558000,3592000,3617000,3659000,3703000,3758000,3805000,3806103,3853486,3869747,3889332,3903925,3932515,3964680,3989364,4015341,4050316,4075970,4075970,4111728,4131450,4141456,4157706,4184302,4205212,4235136,4296166,4338057,4375099,4775508,4726411,4687726,4647723,4605445,4566028,4521709,4471503,4427429,4387283,4375665,"4,919,631","4,933,692","4,982,796","5,018,935","5,053,572","5,087,713","5,119,598","5,163,555","5,207,203","5,247,018","5,281,203","5,303,925","5,310,584","5,303,925","5,303,925","5,310,903","5,348,119","5,380,443","5,420,541","5,457,125","5,489,594"
"28","MO",3108000,3128000,3147000,3166000,3185000,3204000,3223000,3242000,3260000,3279000,3301000,3317000,3344000,3409000,3467000,3492000,3527000,3470000,3325000,3371000,3404000,3429000,3437000,3454000,3508000,3526000,3556000,3576000,3601000,3622000,3646000,3711000,3746000,3773000,3784000,3798000,3801000,3794000,3781000,3783000,3786000,3811000,3829000,3705000,3560000,3516000,3746000,3845000,3844000,3882000,3955000,3964000,4015000,3972000,4020000,4066000,4134000,4163000,4189000,4186000,4258000,4320000,4320000,4326000,4349000,4357000,4392000,4442000,4467000,4523000,4539000,4568000,4640000,4677000,4677623,4725764,4758780,4782645,4795930,4808308,4839029,4863173,4889399,4912430,4916686,4916686,4932064,4929451,4943733,4975278,5000268,5023068,5056696,5081736,5095830,5117073,5468338,5437562,5407113,5367888,5324610,5281206,5237757,5193686,5157770,5126370,5116901,"5,596,564","5,607,285","5,641,142","5,674,825","5,709,403","5,747,741","5,790,300","5,842,704","5,887,612","5,923,916","5,961,088","5,988,927","5,996,231","5,988,927","5,988,927","5,996,052","6,010,587","6,025,468","6,043,708","6,063,827","6,083,672"
"29","MS",1553000,1578000,1603000,1628000,1653000,1678000,1703000,1728000,1753000,1777000,1802000,1810000,1817000,1827000,1832000,1826000,1823000,1820000,1813000,1790000,1800000,1823000,1836000,1858000,1886000,1910000,1935000,1962000,1981000,1998000,2006000,1994000,2004000,2031000,2050000,2061000,2072000,2086000,2127000,2168000,2176000,2184000,2210000,2280000,2167000,2090000,2064000,2107000,2076000,2085000,2179000,2176000,2163000,2152000,2105000,2064000,2060000,2086000,2088000,2086000,2138000,2178000,2178000,2182000,2206000,2243000,2244000,2241000,2246000,2245000,2228000,2219000,2220000,2217000,2216994,2265432,2307117,2349546,2378268,2399449,2429756,2459201,2487816,2507069,2520638,2520638,2539036,2556777,2567717,2578051,2588102,2593597,2588545,2580352,2574269,2573216,2768619,2751335,2731826,2709925,2690788,2663450,2635574,2610193,2591230,2577426,2575475,"2,844,754","2,848,353","2,852,994","2,858,681","2,868,312","2,889,010","2,905,943","2,904,978","2,928,350","2,947,806","2,958,774","2,967,297","2,970,036","2,967,297","2,968,103","2,970,316","2,977,999","2,985,660","2,990,976","2,993,443","2,992,333"
"30","MT",245000,261000,270000,282000,293000,305000,322000,332000,346000,363000,380000,397000,414000,433000,452000,469000,487000,505000,501000,534000,543000,546000,543000,538000,538000,535000,531000,527000,541000,524000,539000,540000,540000,541000,545000,550000,554000,554000,552000,555000,558000,543000,518000,485000,469000,477000,514000,531000,542000,569000,591000,593000,596000,602000,616000,624000,636000,656000,667000,666000,669000,675000,675000,679000,696000,698000,703000,706000,706000,707000,701000,7e+05,694000,694000,694409,710814,718732,726798,736419,748208,757317,769953,782317,787305,786690,786690,795328,803986,814031,820905,822320,813739,805063,800202,799636,799065,882779,879533,878706,876656,868522,854923,839876,822436,807837,799824,799065,"902,200","903,773","906,961","911,667","919,630","930,009","940,102","952,692","964,706","976,415","983,982","989,415","990,898","989,415","989,417","990,643","997,746","1,005,157","1,014,402","1,023,252","1,032,949"
"31","NC",1897000,1926000,1956000,1986000,2017000,2051000,2077000,2105000,2142000,2174000,2221000,2276000,2313000,2362000,2421000,2473000,2513000,2546000,2522000,2535000,2588000,2651000,2700000,2761000,2830000,2895000,2959000,3027000,3082000,3133000,3167000,3184000,3227000,3268000,3304000,3323000,3346000,3385000,3440000,3514000,3574000,3589000,3569000,3654000,3560000,3533000,3706000,3769000,3837000,3911000,4062000,4068000,4120000,4109000,4120000,4131000,4242000,4309000,4368000,4376000,4458000,4556000,4556000,4573000,4663000,4707000,4742000,4802000,4863000,4896000,4952000,5004000,5031000,5082000,5084411,5203531,5301150,5389852,5470911,5547188,5607964,5685607,5759492,5823491,5881766,5881766,5956653,6019101,6077056,6164006,6253954,6321578,6403700,6480594,6565459,6628637,7650789,7545828,7428672,7307658,7185403,7060959,6947412,6831850,6748135,6656987,6632448,"8,046,346","8,081,614","8,210,122","8,326,201","8,422,501","8,553,152","8,705,407","8,917,270","9,118,037","9,309,449","9,449,566","9,535,483","9,561,558","9,535,483","9,535,692","9,558,979","9,651,025","9,747,021","9,845,432","9,940,387","10,042,802"
"32","ND",321000,346000,371000,396000,421000,446000,474000,501000,528000,555000,580000,584000,603000,609000,620000,641000,652000,661000,636000,648000,646000,646000,647000,648000,642000,643000,651000,657000,665000,674000,682000,680000,676000,674000,672000,670000,664000,655000,647000,644000,640000,615000,583000,546000,534000,546000,570000,578000,580000,597000,620000,619000,604000,608000,609000,611000,615000,613000,612000,606000,618000,632000,632000,634000,641000,637000,644000,649000,649000,647000,626000,621000,621000,618000,617792,626760,631119,632675,634559,638886,645797,649769,651301,652896,652717,652717,659505,668972,676688,680497,676980,669512,661136,655331,646351,638800,633666,637808,640945,642858,641548,639762,637229,635427,634199,637364,638800,"642,237","642,023","639,062","638,168","638,817","644,705","646,089","649,422","652,822","657,569","664,968","672,591","674,499","672,591","672,591","674,530","685,326","702,265","723,626","740,040","756,927"
"33","NE",1067000,1078000,1089000,1104000,1119000,1129000,1138000,1149000,1161000,1177000,1198000,1216000,1232000,1246000,1264000,1272000,1275000,1285000,1266000,1290000,1300000,1309000,1312000,1321000,1333000,1343000,1353000,1365000,1371000,1375000,1380000,1384000,1386000,1385000,1382000,1375000,1358000,1339000,1326000,1318000,1316000,1272000,1239000,1241000,1216000,1211000,1256000,1265000,1265000,1302000,1326000,1327000,1316000,1311000,1318000,1340000,1374000,1397000,1394000,1383000,1397000,1411000,1411000,1417000,1446000,1464000,1476000,1482000,1471000,1456000,1457000,1467000,1474000,1484000,1485333,1504604,1519013,1529567,1539191,1543117,1550911,1556842,1563884,1567344,1569825,1569825,1578515,1581780,1584293,1588639,1584664,1574333,1566547,1571477,1574864,1578385,1666028,1660772,1656042,1647657,1635142,1621551,1612149,1602406,1590805,1580664,1578417,"1,711,230","1,713,820","1,719,836","1,728,292","1,738,643","1,749,370","1,761,497","1,772,693","1,783,440","1,796,378","1,812,683","1,826,341","1,830,429","1,826,341","1,826,341","1,830,025","1,842,383","1,855,973","1,869,300","1,882,980","1,896,190"
"34","NH",412000,412000,409000,394000,407000,423000,415000,423000,428000,431000,431000,432000,434000,439000,442000,443000,445000,447000,440000,443000,444000,449000,451000,453000,457000,459000,463000,466000,468000,467000,466000,470000,474000,477000,480000,481000,481000,481000,485000,490000,492000,490000,481000,462000,456000,459000,494000,507000,520000,533000,533000,532000,529000,535000,547000,554000,557000,566000,572000,581000,596000,607000,607000,609000,618000,632000,649000,663000,676000,681000,697000,709000,724000,738000,737681,761851,781107,800951,815914,828555,845248,869763,891520,909074,920610,920610,936621,947719,958134,976864,996753,1025053,1054289,1082577,1104522,1109252,1201134,1185823,1173239,1160768,1145604,1133054,1122191,1112766,1107055,1111831,1109252,"1,235,807","1,239,882","1,255,517","1,269,089","1,279,840","1,290,121","1,298,492","1,308,389","1,312,540","1,315,906","1,316,102","1,316,470","1,316,759","1,316,470","1,316,466","1,316,708","1,318,344","1,321,393","1,322,660","1,327,996","1,330,608"
"35","NJ",1884000,1889000,1917000,1969000,2050000,2151000,2239000,2314000,2403000,2487000,2550000,2610000,2670000,2729000,2789000,2850000,2918000,2976000,3043000,3136000,3198000,3297000,3380000,3472000,3573000,3664000,3758000,3891000,3968000,3989000,4068000,4120000,4120000,4107000,4089000,4085000,4084000,4088000,4100000,4129000,4175000,4254000,4297000,4226000,4158000,4108000,4492000,4618000,4774000,4889000,4835000,4872000,5006000,5125000,5229000,5360000,5502000,5615000,5737000,5890000,6015000,6067000,6067000,6103000,6265000,6376000,6531000,6660000,6767000,6851000,6928000,7005000,7095000,7168000,7171112,7281107,7335042,7333083,7332411,7337765,7339745,7337169,7350804,7366512,7364823,7364823,7407472,7430968,7467785,7515473,7565528,7622159,7670742,7712333,7726089,7730188,8143412,8095542,8054178,8009624,7965523,7918796,7874891,7827770,7784269,7757158,7747750,"8,414,764","8,430,621","8,492,671","8,552,643","8,601,402","8,634,561","8,651,974","8,661,679","8,677,885","8,711,090","8,755,602","8,791,894","8,801,624","8,791,894","8,791,936","8,803,881","8,842,934","8,874,893","8,907,384","8,938,844","8,958,013"
