"","Year","State","TotalVotes","Candidate1Votes","Candidate1%","Candidate1EV","Candidate2Votes","Candidate2%","Candidate2EV","Candidate3Votes","Candidate3%","Candidate3EV","Candidate4Votes","Candidate4%","Candidate4EV"
"2514",1880,"Nebraska","87,355","54,979","62.9","3","28,523","32.7","Â",NA,NA,NA,NA,NA,NA
"2614",1880,"Nevada","18,343","8,732","47.6","Â","9,611","52.4","3",NA,NA,NA,NA,NA,NA
"2714",1880,"New Hampshire","86,361","44,856","51.9","5","40,797","47.2","Â",NA,NA,NA,NA,NA,NA
"2813",1880,"New Jersey","245,928","120,555","49.0","Â","122,565","49.8","9",NA,NA,NA,NA,NA,NA
"2913",1880,"New York","1,103,945","555,544","50.3","35","534,511","48.4","Â",NA,NA,NA,NA,NA,NA
"3010",1880,"North Carolina","240,946","115,616","48.0","Â","124,204","51.5","10",NA,NA,NA,NA,NA,NA
"319",1880,"Ohio","724,984","375,048","51.7","22","340,867","47.0","Â",NA,NA,NA,NA,NA,NA
"327",1880,"Oregon","40,841","20,619","50.5","3","19,955","48.9","Â",NA,NA,NA,NA,NA,NA
"337",1880,"Pennsylvania","874,783","444,704","50.8","29","407,428","46.6","Â",NA,NA,NA,NA,NA,NA
"347",1880,"Rhode Island","29,235","18,195","62.2","4","10,779","36.9","Â",NA,NA,NA,NA,NA,NA
