"","Year","State","TotalVotes","Candidate1Votes","Candidate1%","Candidate1EV","Candidate2Votes","Candidate2%","Candidate2EV","Candidate3Votes","Candidate3%","Candidate3EV","Candidate4Votes","Candidate4%","Candidate4EV"
"423",1880,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418",1884,"Alabama","153,624","92,736","60.4","10","59,444","38.7","Â",NA,NA,NA,NA,NA,NA
"515",1884,"Arkansas","125,779","72,734","57.8","7","51,198","40.7","Â",NA,NA,NA,NA,NA,NA
"615",1884,"California","196,988","89,288","45.3","Â","102,369","52.0","8",NA,NA,NA,NA,NA,NA
"715",1884,"Colorado","66,519","27,723","41.7","Â","36,084","54.2","3",NA,NA,NA,NA,NA,NA
"815",1884,"Connecticut","137,221","67,167","48.9","6","65,879","48.0","Â",NA,NA,NA,NA,NA,NA
"915",1884,"Delaware","29,984","16,957","56.6","3","12,953","43.2","Â",NA,NA,NA,NA,NA,NA
"1015",1884,"Florida","59,990","31,769","53.0","4","28,031","46.7","Â",NA,NA,NA,NA,NA,NA
"1115",1884,"Georgia","143,610","94,667","65.9","12","48,603","33.8","Â",NA,NA,NA,NA,NA,NA
"1215",1884,"Illinois","672,670","312,351","46.4","Â","337,469","50.2","22",NA,NA,NA,NA,NA,NA
"1315",1884,"Indiana","495,423","245,041","49.5","15","238,511","48.1","Â",NA,NA,NA,NA,NA,NA
"1415",1884,"Iowa","393,542","177,316","45.1","Â","197,089","50.1","13",NA,NA,NA,NA,NA,NA
"1515",1884,"Kansas","250,991","90,111","35.9","Â","154,410","61.5","9",NA,NA,NA,NA,NA,NA
"1615",1884,"Kentucky","276,503","152,894","55.3","13","118,822","43.0","Â",NA,NA,NA,NA,NA,NA
"1715",1884,"Louisiana","109,399","62,594","57.2","8","46,347","42.4","Â",NA,NA,NA,NA,NA,NA
"1815",1884,"Maine","130,489","52,153","40.0","Â","72,217","55.3","6",NA,NA,NA,NA,NA,NA
"1915",1884,"Maryland","185,838","96,941","52.2","8","85,748","46.1","Â",NA,NA,NA,NA,NA,NA
"2015",1884,"Massachusetts","303,383","122,352","40.3","Â","146,724","48.4","14",NA,NA,NA,NA,NA,NA
"2115",1884,"Michigan","401,186","189,361","47.2","Â","192,669","48.0","13",NA,NA,NA,NA,NA,NA
"2215",1884,"Minnesota","190,236","70,135","36.7","Â","111,819","58.8","7",NA,NA,NA,NA,NA,NA
"2315",1884,"Mississippi","120,688","77,653","64.3","9","43,035","35.7","Â",NA,NA,NA,NA,NA,NA
"2415",1884,"Missouri","441,268","236,023","53.5","16","203,081","46.0","Â",NA,NA,NA,NA,NA,NA
"2515",1884,"Nebraska","134,202","54,391","40.5","Â","76,912","57.3","5",NA,NA,NA,NA,NA,NA
"2615",1884,"Nevada","12,779","5,577","43.6","Â","7,176","56.2","3",NA,NA,NA,NA,NA,NA
"2715",1884,"New Hampshire","84,586","39,198","46.3","Â","43,254","51.1","4",NA,NA,NA,NA,NA,NA
"2814",1884,"New Jersey","260,853","127,747","49.0","9","123,436","47.3","Â",NA,NA,NA,NA,NA,NA
"2914",1884,"New York","1,167,003","563,048","48.2","36","562,001","48.2","Â",NA,NA,NA,NA,NA,NA
"3011",1884,"North Carolina","268,356","142,905","53.3","11","125,021","46.6","Â",NA,NA,NA,NA,NA,NA
"3110",1884,"Ohio","784,620","368,280","46.9","Â","400,092","51.0","23",NA,NA,NA,NA,NA,NA
"328",1884,"Oregon","52,683","24,598","46.7","Â","26,845","51.0","3",NA,NA,NA,NA,NA,NA
"338",1884,"Pennsylvania","899,563","392,915","43.7","Â","474,350","52.7","30",NA,NA,NA,NA,NA,NA
"348",1884,"Rhode Island","32,771","12,391","37.8","Â","19,030","58.1","4",NA,NA,NA,NA,NA,NA
"357",1884,"South Carolina","92,812","69,845","75.3","9","21,730","23.4","Â",NA,NA,NA,NA,NA,NA
"365",1884,"Tennessee","259,978","133,770","51.5","12","124,101","47.7","Â",NA,NA,NA,NA,NA,NA
"375",1884,"Texas","326,458","226,375","69.3","13","93,345","28.6","Â",NA,NA,NA,NA,NA,NA
"384",1884,"Vermont","59,409","17,331","29.2","Â","39,514","66.5","4",NA,NA,NA,NA,NA,NA
"394",1884,"Virginia","284,977","145,491","51.1","12","139,356","48.9","Â",NA,NA,NA,NA,NA,NA
"403",1884,"West Virginia","132,145","67,311","50.9","6","63,096","47.7","Â",NA,NA,NA,NA,NA,NA
"419",1884,"Wisconsin","319,847","146,447","45.8","Â","161,155","50.4","11",NA,NA,NA,NA,NA,NA
"424",1884,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420",1888,"Alabama","175,085","57,177","32.7","Â","117,314","67.0","10",NA,NA,NA,NA,NA,NA
"516",1888,"Arkansas","157,058","59,752","38.0","Â","86,062","54.8","7",NA,NA,NA,NA,NA,NA
"616",1888,"California","251,339","124,816","49.7","8","117,729","46.8","Â",NA,NA,NA,NA,NA,NA
"716",1888,"Colorado","91,946","50,772","55.2","3","37,549","40.8","Â",NA,NA,NA,NA,NA,NA
"816",1888,"Connecticut","153,978","74,584","48.4","Â","74,920","48.7","6",NA,NA,NA,NA,NA,NA
"916",1888,"Delaware","29,764","12,950","43.5","Â","16,414","55.1","3",NA,NA,NA,NA,NA,NA
"1016",1888,"Florida","66,500","26,529","39.9","Â","39,557","59.5","4",NA,NA,NA,NA,NA,NA
"1116",1888,"Georgia","142,936","40,499","28.3","Â","100,493","70.3","12",NA,NA,NA,NA,NA,NA
"1216",1888,"Illinois","747,813","370,475","49.5","22","348,351","46.6","Â",NA,NA,NA,NA,NA,NA
"1316",1888,"Indiana","536,988","263,366","49.0","15","260,990","48.6","Â",NA,NA,NA,NA,NA,NA
"1416",1888,"Iowa","404,694","211,607","52.3","13","179,876","44.4","Â",NA,NA,NA,NA,NA,NA
"1516",1888,"Kansas","331,133","182,845","55.2","9","102,739","31.0","Â",NA,NA,NA,NA,NA,NA
"1616",1888,"Kentucky","344,868","155,138","45.0","Â","183,830","53.3","13",NA,NA,NA,NA,NA,NA
"1716",1888,"Louisiana","115,891","30,660","26.5","Â","85,032","73.4","8",NA,NA,NA,NA,NA,NA
"1816",1888,"Maine","128,253","73,730","57.5","6","50,472","39.4","Â",NA,NA,NA,NA,NA,NA
"1916",1888,"Maryland","210,941","99,986","47.4","Â","106,188","50.3","8",NA,NA,NA,NA,NA,NA
"2016",1888,"Massachusetts","344,243","183,892","53.4","14","151,590","44.0","Â",NA,NA,NA,NA,NA,NA
"2116",1888,"Michigan","475,356","236,387","49.7","13","213,469","44.9","Â",NA,NA,NA,NA,NA,NA
"2216",1888,"Minnesota","263,162","142,492","54.1","7","104,372","39.7","Â",NA,NA,NA,NA,NA,NA
"2316",1888,"Mississippi","115,786","30,095","26.0","Â","85,451","73.8","9",NA,NA,NA,NA,NA,NA
"2416",1888,"Missouri","521,359","236,252","45.3","Â","261,943","50.2","16",NA,NA,NA,NA,NA,NA
"2516",1888,"Nebraska","202,630","108,417","53.5","5","80,552","39.8","Â",NA,NA,NA,NA,NA,NA
"2616",1888,"Nevada","12,573","7,229","57.5","3","5,303","42.2","Â",NA,NA,NA,NA,NA,NA
"2716",1888,"New Hampshire","90,770","45,734","50.4","4","43,382","47.8","Â",NA,NA,NA,NA,NA,NA
"2815",1888,"New Jersey","303,801","144,360","47.5","Â","151,508","49.9","9",NA,NA,NA,NA,NA,NA
"2915",1888,"New York","1,321,270","650,338","49.2","36","635,965","48.1","Â",NA,NA,NA,NA,NA,NA
"3012",1888,"North Carolina","285,946","134,784","47.1","Â","148,336","51.9","11",NA,NA,NA,NA,NA,NA
"3111",1888,"Ohio","839,357","416,054","49.6","23","395,456","47.1","Â",NA,NA,NA,NA,NA,NA
"329",1888,"Oregon","61,889","33,291","53.8","3","26,518","42.8","Â",NA,NA,NA,NA,NA,NA
"339",1888,"Pennsylvania","997,568","526,091","52.7","30","446,633","44.8","Â",NA,NA,NA,NA,NA,NA
"349",1888,"Rhode Island","40,775","21,969","53.9","4","17,530","43.0","Â",NA,NA,NA,NA,NA,NA
"358",1888,"South Carolina","79,997","13,736","17.2","Â","65,824","82.3","9",NA,NA,NA,NA,NA,NA
"366",1888,"Tennessee","304,313","139,511","45.8","Â","158,779","52.2","12",NA,NA,NA,NA,NA,NA
"376",1888,"Texas","363,484","93,991","25.9","Â","236,290","65.0","13",NA,NA,NA,NA,NA,NA
"385",1888,"Vermont","63,476","45,193","71.2","4","16,788","26.4","Â",NA,NA,NA,NA,NA,NA
"395",1888,"Virginia","304,087","150,399","49.5","Â","152,004","50.0","12",NA,NA,NA,NA,NA,NA
"404",1888,"West Virginia","159,440","78,171","49.0","Â","78,677","49.3","6",NA,NA,NA,NA,NA,NA
"4110",1888,"Wisconsin","354,614","176,553","49.8","11","155,232","43.8","Â",NA,NA,NA,NA,NA,NA
"425",1888,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426",1892,"Alabama","232,543","138,135","59.4","11","9,184","3.9","Â","84,984","36.5","Â",NA,NA,NA
"517",1892,"Arkansas","148,117","87,834","59.3","8","47,072","31.8","Â","11,831","8.0","Â",NA,NA,NA
"617",1892,"California","269,585","118,151","43.8","8","118,027","43.8","1","25,311","9.4","Â",NA,NA,NA
"717",1892,"Colorado","93,881","--","0.0","Â","38,620","41.1","Â","53,584","57.1","4",NA,NA,NA
"817",1892,"Connecticut","164,593","82,395","50.1","6","77,030","46.8","Â","809","0.5","Â",NA,NA,NA
"917",1892,"Delaware","37,235","18,581","49.9","3","18,077","48.5","Â","--","0.0","Â",NA,NA,NA
"1017",1892,"Florida","35,567","30,154","84.8","4","--","0.0","Â","4,843","13.6","Â",NA,NA,NA
"1117",1892,"Georgia","223,961","129,386","57.8","13","48,305","21.6","Â","42,937","19.2","Â",NA,NA,NA
"1217",1892,"Idaho","19,407","--","0.0","Â","8,599","44.3","Â","10,520","54.2","3",NA,NA,NA
"1317",1892,"Illinois","873,667","426,281","48.8","24","399,308","45.7","Â","22,207","2.5","Â",NA,NA,NA
"1417",1892,"Indiana","553,613","262,740","47.5","15","255,615","46.2","Â","22,208","4.0","Â",NA,NA,NA
"1517",1892,"Iowa","443,159","196,367","44.3","Â","219,795","49.6","13","20,595","4.6","Â",NA,NA,NA
"1617",1892,"Kansas","323,591","--","0.0","Â","156,134","48.3","Â","162,888","50.3","10",NA,NA,NA
"1717",1892,"Kentucky","340,864","175,461","51.5","13","135,462","39.7","Â","23,500","6.9","Â",NA,NA,NA
"1817",1892,"Louisiana","118,287","87,922","74.3","8","27,903","23.6","Â","2,462","2.1","Â",NA,NA,NA
"1917",1892,"Maine","116,013","48,024","41.4","Â","62,878","54.2","6","2,045","1.8","Â",NA,NA,NA
"2017",1892,"Maryland","213,275","113,866","53.4","8","92,736","43.5","Â","796","0.4","Â",NA,NA,NA
"2117",1892,"Massachusetts","391,028","176,813","45.2","Â","202,814","51.9","15","3,210","0.8","Â",NA,NA,NA
"2217",1892,"Michigan","466,917","202,396","43.3","5","222,708","47.7","9","20,031","4.3","Â",NA,NA,NA
"2317",1892,"Minnesota","267,461","101,055","37.8","Â","122,836","45.9","9","29,336","11.0","Â",NA,NA,NA
"2417",1892,"Mississippi","52,519","40,030","76.2","9","1,398","2.7","Â","10,118","19.3","Â",NA,NA,NA
"2517",1892,"Missouri","541,583","268,400","49.6","17","227,646","42.0","Â","41,204","7.6","Â",NA,NA,NA
"2617",1892,"Montana","44,461","17,690","39.8","Â","18,871","42.4","3","7,338","16.5","Â",NA,NA,NA
"2717",1892,"Nebraska","200,205","24,956","12.5","Â","87,213","43.6","8","83,134","41.5","Â",NA,NA,NA
"2816",1892,"Nevada","10,826","703","6.5","Â","2,811","26.0","Â","7,226","66.7","3",NA,NA,NA
"2916",1892,"New Hampshire","89,328","42,081","47.1","Â","45,658","51.1","4","292","0.3","Â",NA,NA,NA
"3013",1892,"New Jersey","337,485","170,987","50.7","10","156,059","46.2","Â","969","0.3","Â",NA,NA,NA
"3112",1892,"New York","1,336,793","654,868","49.0","36","609,350","45.6","Â","16,429","1.2","Â",NA,NA,NA
"3210",1892,"North Carolina","280,270","132,951","47.4","11","100,346","35.8","Â","44,336","15.8","Â",NA,NA,NA
"3310",1892,"North Dakota","36,118","--","0.0","1","17,519","48.5","1","17,700","49.0","1",NA,NA,NA
"3410",1892,"Ohio","850,164","404,115","47.5","1","405,187","47.7","22","14,850","1.7","Â",NA,NA,NA
"359",1892,"Oregon","78,378","14,243","18.2","Â","35,002","44.7","3","26,875","34.3","1",NA,NA,NA
"367",1892,"Pennsylvania","1,003,000","452,264","45.1","Â","516,011","51.4","32","8,714","0.9","Â",NA,NA,NA
"377",1892,"Rhode Island","53,196","24,336","45.7","Â","26,975","50.7","4","228","0.4","Â",NA,NA,NA
"386",1892,"South Carolina","70,504","54,680","77.6","9","13,345","18.9","Â","2,407","3.4","Â",NA,NA,NA
"396",1892,"South Dakota","70,513","9,081","12.9","Â","34,888","49.5","4","26,544","37.6","Â",NA,NA,NA
"405",1892,"Tennessee","265,732","136,468","51.4","12","100,537","37.8","Â","23,918","9.0","Â",NA,NA,NA
"4111",1892,"Texas","422,447","239,148","56.6","15","77,478","18.3","Â","99,688","23.6","Â",NA,NA,NA
"427",1892,"Vermont","55,793","16,325","29.3","Â","37,992","68.1","4","42","0.1","Â",NA,NA,NA
"432",1892,"Virginia","292,238","164,136","56.2","12","113,098","38.7","Â","12,275","4.2","Â",NA,NA,NA
"441",1892,"Washington","87,968","29,802","33.9","Â","36,459","41.4","4","19,165","21.8","Â",NA,NA,NA
"451",1892,"West Virginia","171,079","84,467","49.4","6","80,292","46.9","Â","4,167","2.4","Â",NA,NA,NA
"461",1892,"Wisconsin","371,481","177,325","47.7","12","171,101","46.1","Â","9,919","2.7","Â",NA,NA,NA
"471",1892,"Wyoming","16,703","--","0.0","Â","8,454","50.6","3","7,722","46.2","Â",NA,NA,NA
"481",1892,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428",1896,"Alabama","194,580","55,673","28.6","Â","130,298","67.0","11",NA,NA,NA,NA,NA,NA
"518",1896,"Arkansas","149,396","37,512","25.1","Â","110,103","73.7","8",NA,NA,NA,NA,NA,NA
"618",1896,"California","299,374","146,688","49.1","8","123,143","41.2","1",NA,NA,NA,NA,NA,NA
"718",1896,"Colorado","189,539","26,271","13.9","Â","161,005","84.9","4",NA,NA,NA,NA,NA,NA
"818",1896,"Connecticut","174,394","110,285","63.2","6","56,740","32.5","Â",NA,NA,NA,NA,NA,NA
"918",1896,"Delaware","31,538","16,883","53.5","3","13,425","42.6","Â",NA,NA,NA,NA,NA,NA
"1018",1896,"Florida","46,468","11,298","24.3","Â","30,683","66.0","4",NA,NA,NA,NA,NA,NA
"1118",1896,"Georgia","163,309","60,107","36.8","Â","94,733","58.0","13",NA,NA,NA,NA,NA,NA
"1218",1896,"Idaho","29,631","6,324","21.3","Â","23,135","78.1","3",NA,NA,NA,NA,NA,NA
"1318",1896,"Illinois","1,090,766","607,130","55.7","24","465,593","42.7","Â",NA,NA,NA,NA,NA,NA
"1418",1896,"Indiana","637,089","323,754","50.8","15","305,538","48.0","Â",NA,NA,NA,NA,NA,NA
"1518",1896,"Iowa","521,550","289,293","55.5","13","223,744","42.9","Â",NA,NA,NA,NA,NA,NA
"1618",1896,"Kansas","336,085","159,484","47.5","Â","173,049","51.5","10",NA,NA,NA,NA,NA,NA
"1718",1896,"Kentucky","445,928","218,171","48.9","12","217,894","48.9","1",NA,NA,NA,NA,NA,NA
"1818",1896,"Louisiana","101,046","22,037","21.8","Â","77,175","76.4","8",NA,NA,NA,NA,NA,NA
"1918",1896,"Maine","118,419","80,403","67.9","6","34,587","29.2","Â",NA,NA,NA,NA,NA,NA
"2018",1896,"Maryland","250,249","136,959","54.7","8","104,150","41.6","Â",NA,NA,NA,NA,NA,NA
"2118",1896,"Massachusetts","401,269","278,976","69.5","15","105,414","26.3","Â",NA,NA,NA,NA,NA,NA
"2218",1896,"Michigan","545,583","293,336","53.8","14","237,164","43.5","Â",NA,NA,NA,NA,NA,NA
"2318",1896,"Minnesota","341,762","193,503","56.6","9","139,735","40.9","Â",NA,NA,NA,NA,NA,NA
"2418",1896,"Mississippi","69,591","4,819","6.9","Â","63,355","91.0","9",NA,NA,NA,NA,NA,NA
"2518",1896,"Missouri","674,032","304,940","45.2","Â","363,667","54.0","17",NA,NA,NA,NA,NA,NA
"2618",1896,"Montana","53,330","10,509","19.7","Â","42,628","79.9","3",NA,NA,NA,NA,NA,NA
"2718",1896,"Nebraska","223,181","103,064","46.2","Â","115,007","51.5","8",NA,NA,NA,NA,NA,NA
"2817",1896,"Nevada","10,314","1,938","18.8","Â","7,802","75.6","3",NA,NA,NA,NA,NA,NA
"2917",1896,"New Hampshire","83,670","57,444","68.7","4","21,271","25.4","Â",NA,NA,NA,NA,NA,NA
"3014",1896,"New Jersey","371,014","221,367","59.7","10","133,675","36.0","Â",NA,NA,NA,NA,NA,NA
"3113",1896,"New York","1,423,876","819,838","57.6","36","551,369","38.7","Â",NA,NA,NA,NA,NA,NA
"3211",1896,"North Carolina","331,337","155,122","46.8","Â","174,408","52.6","11",NA,NA,NA,NA,NA,NA
"3311",1896,"North Dakota","47,391","26,335","55.6","3","20,686","43.6","Â",NA,NA,NA,NA,NA,NA
"3411",1896,"Ohio","1,014,295","525,991","51.9","23","474,882","46.8","Â",NA,NA,NA,NA,NA,NA
"3510",1896,"Oregon","97,335","48,700","50.0","4","46,739","48.0","Â",NA,NA,NA,NA,NA,NA
"368",1896,"Pennsylvania","1,194,355","728,300","61.0","32","427,125","35.8","Â",NA,NA,NA,NA,NA,NA
"378",1896,"Rhode Island","54,785","37,437","68.3","4","14,459","26.4","Â",NA,NA,NA,NA,NA,NA
"387",1896,"South Carolina","68,938","9,313","13.5","Â","58,801","85.3","9",NA,NA,NA,NA,NA,NA
"397",1896,"South Dakota","82,937","41,040","49.5","Â","41,225","49.7","4",NA,NA,NA,NA,NA,NA
"406",1896,"Tennessee","320,903","148,683","46.3","Â","167,168","52.1","12",NA,NA,NA,NA,NA,NA
"4112",1896,"Texas","515,987","163,413","31.7","Â","267,803","51.9","15",NA,NA,NA,NA,NA,NA
"429",1896,"Utah","78,098","13,491","17.3","Â","64,607","82.7","3",NA,NA,NA,NA,NA,NA
"433",1896,"Vermont","63831","51,127","80.1","4","10,179","15.9","Â",NA,NA,NA,NA,NA,NA
"442",1896,"Virginia","294,674","135,379","45.9","Â","154,708","52.5","12",NA,NA,NA,NA,NA,NA
"452",1896,"Washington","93,583","39,153","41.8","Â","51,646","55.2","4",NA,NA,NA,NA,NA,NA
"462",1896,"West Virginia","201,757","105,379","52.2","6","94,480","46.8","Â",NA,NA,NA,NA,NA,NA
"472",1896,"Wisconsin","447,409","268,135","59.9","12","165,523","37.0","Â",NA,NA,NA,NA,NA,NA
"482",1896,"Wyoming","21,093","10,072","47.8","Â","10,376","49.3","3",NA,NA,NA,NA,NA,NA
"491",1896,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1896,"Totals","13,905,691","7,105,076","51.1","271","6,370,897","45.8","176",NA,NA,NA,NA,NA,NA
"430",1900,"Alabama","160,477","55,634","34.7","Â","96,368","60.1","11",NA,NA,NA,NA,NA,NA
"519",1900,"Arkansas","127,966","44,800","35.0","Â","81,242","63.5","8",NA,NA,NA,NA,NA,NA
"619",1900,"California","302,399","164,755","54.5","9","124,985","41.3","Â",NA,NA,NA,NA,NA,NA
"719",1900,"Colorado","220,895","92,701","42.0","Â","122,705","55.5","4",NA,NA,NA,NA,NA,NA
"819",1900,"Connecticut","180,195","102,572","56.9","6","74,014","41.1","Â",NA,NA,NA,NA,NA,NA
"919",1900,"Delaware","41,989","22,535","53.7","3","18,852","44.9","Â",NA,NA,NA,NA,NA,NA
"1019",1900,"Florida","39,777","7,463","18.8","Â","28,273","71.1","4",NA,NA,NA,NA,NA,NA
"1119",1900,"Georgia","121,410","34,260","28.2","Â","81,180","66.9","13",NA,NA,NA,NA,NA,NA
"1219",1900,"Idaho","56,760","27,198","47.9","Â","28,260","49.8","3",NA,NA,NA,NA,NA,NA
"1319",1900,"Illinois","1,131,898","597,985","52.8","24","503,061","44.4","Â",NA,NA,NA,NA,NA,NA
"1419",1900,"Indiana","664,094","336,063","50.6","15","309,584","46.6","Â",NA,NA,NA,NA,NA,NA
"1519",1900,"Iowa","530,345","307,799","58.0","13","209,261","39.5","Â",NA,NA,NA,NA,NA,NA
"1619",1900,"Kansas","353,766","185,955","52.6","10","162,601","46.0","Â",NA,NA,NA,NA,NA,NA
"1719",1900,"Kentucky","467,580","226,801","48.5","Â","234,889","50.2","13",NA,NA,NA,NA,NA,NA
"1819",1900,"Louisiana","67,906","14,234","21.0","Â","53,668","79.0","8",NA,NA,NA,NA,NA,NA
"1919",1900,"Maine","107,698","66,413","61.7","6","37,822","35.1","Â",NA,NA,NA,NA,NA,NA
"2019",1900,"Maryland","264,386","136,151","51.5","8","122,237","46.2","Â",NA,NA,NA,NA,NA,NA
"2119",1900,"Massachusetts","414,804","238,866","57.6","15","156,997","37.8","Â",NA,NA,NA,NA,NA,NA
"2219",1900,"Michigan","543,789","316,014","58.1","14","211,432","38.9","Â",NA,NA,NA,NA,NA,NA
"2319",1900,"Minnesota","316,311","190,461","60.2","9","112,901","35.7","Â",NA,NA,NA,NA,NA,NA
"2419",1900,"Mississippi","59,055","5,707","9.7","Â","51,706","87.6","9",NA,NA,NA,NA,NA,NA
"2519",1900,"Missouri","683,658","314,092","45.9","Â","351,922","51.5","17",NA,NA,NA,NA,NA,NA
"2619",1900,"Montana","63,856","25,409","39.8","Â","37,311","58.4","3",NA,NA,NA,NA,NA,NA
"2719",1900,"Nebraska","241,430","121,835","50.5","8","114,013","47.2","Â",NA,NA,NA,NA,NA,NA
"2818",1900,"Nevada","10,196","3,849","37.8","Â","6,347","62.2","3",NA,NA,NA,NA,NA,NA
"2918",1900,"New Hampshire","92,364","54,799","59.3","4","35,489","38.4","Â",NA,NA,NA,NA,NA,NA
"3015",1900,"New Jersey","401,050","221,707","55.3","10","164,808","41.1","Â",NA,NA,NA,NA,NA,NA
"3114",1900,"New York","1,548,043","822,013","53.1","36","678,462","43.8","Â",NA,NA,NA,NA,NA,NA
"3212",1900,"North Carolina","292,518","132,997","45.5","Â","157,733","53.9","11",NA,NA,NA,NA,NA,NA
"3312",1900,"North Dakota","57,783","35,898","62.1","3","20,524","35.5","Â",NA,NA,NA,NA,NA,NA
"3412",1900,"Ohio","1,040,073","543,918","52.3","23","474,882","45.7","Â",NA,NA,NA,NA,NA,NA
"3511",1900,"Oregon","84,216","46,526","55.2","4","33,385","39.6","Â",NA,NA,NA,NA,NA,NA
"369",1900,"Pennsylvania","1,173,210","712,665","60.7","32","424,232","36.2","Â",NA,NA,NA,NA,NA,NA
"379",1900,"Rhode Island","56,548","33,784","59.7","4","19,812","35.0","Â",NA,NA,NA,NA,NA,NA
"388",1900,"South Carolina","50,698","3,525","7.0","Â","47,173","93.0","9",NA,NA,NA,NA,NA,NA
"398",1900,"South Dakota","96,169","54,574","56.7","4","39,538","41.1","Â",NA,NA,NA,NA,NA,NA
"407",1900,"Tennessee","273,860","123,108","45.0","Â","145,240","53.0","12",NA,NA,NA,NA,NA,NA
"4113",1900,"Texas","424,334","131,174","30.9","Â","267,945","63.1","15",NA,NA,NA,NA,NA,NA
"4210",1900,"Utah","93,071","47,089","50.6","3","44,949","48.3","Â",NA,NA,NA,NA,NA,NA
"434",1900,"Vermont","56,212","42,569","75.7","4","12,849","22.9","Â",NA,NA,NA,NA,NA,NA
"443",1900,"Virginia","264,208","115,769","43.8","Â","146,079","55.3","12",NA,NA,NA,NA,NA,NA
"453",1900,"Washington","107,523","57,455","53.4","4","44,833","41.7","Â",NA,NA,NA,NA,NA,NA
"463",1900,"West Virginia","220,796","119,829","54.3","6","98,807","44.8","Â",NA,NA,NA,NA,NA,NA
"473",1900,"Wisconsin","442,501","265,760","60.1","12","159,163","36.0","Â",NA,NA,NA,NA,NA,NA
"483",1900,"Wyoming","24,708","14,482","58.6","3","10,164","41.1","Â",NA,NA,NA,NA,NA,NA
"492",1900,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435",1904,"Alabama","108,785","22,472","20.7","Â","79,797","73.4","11",NA,NA,NA,NA,NA,NA
"520",1904,"Arkansas","116,328","46,760","40.2","Â","64,434","55.4","9",NA,NA,NA,NA,NA,NA
"620",1904,"California","331,768","205,226","61.9","10","89,294","26.9","Â",NA,NA,NA,NA,NA,NA
"720",1904,"Colorado","243,667","134,661","55.3","5","100,105","41.1","Â",NA,NA,NA,NA,NA,NA
"820",1904,"Connecticut","191,136","111,089","58.1","7","72,909","38.1","Â",NA,NA,NA,NA,NA,NA
"920",1904,"Delaware","43,856","23,705","54.1","3","19,347","44.1","Â",NA,NA,NA,NA,NA,NA
"1020",1904,"Florida","39,302","8,314","21.2","Â","27,046","68.8","5",NA,NA,NA,NA,NA,NA
"1120",1904,"Georgia","130,986","24,004","18.3","Â","83,466","63.7","13",NA,NA,NA,NA,NA,NA
"1220",1904,"Idaho","72,577","47,783","65.8","3","18,480","25.5","Â",NA,NA,NA,NA,NA,NA
"1320",1904,"Illinois","1,076,495","632,645","58.8","27","327,606","30.4","Â",NA,NA,NA,NA,NA,NA
"1420",1904,"Indiana","682,206","368,289","54.0","15","274,356","40.2","Â",NA,NA,NA,NA,NA,NA
"1520",1904,"Iowa","485,703","307,907","63.4","13","149,141","30.7","Â",NA,NA,NA,NA,NA,NA
"1620",1904,"Kansas","329,047","213,455","64.9","10","86,164","26.2","Â",NA,NA,NA,NA,NA,NA
"1720",1904,"Kentucky","435,946","205,457","47.1","Â","217,170","49.8","13",NA,NA,NA,NA,NA,NA
"1820",1904,"Louisiana","53,908","5,205","9.7","Â","47,708","88.5","9",NA,NA,NA,NA,NA,NA
"1920",1904,"Maine","96,036","64,438","67.1","6","27,648","28.8","Â",NA,NA,NA,NA,NA,NA
"2020",1904,"Maryland","224,229","109,497","48.8","1","109,446","48.8","7",NA,NA,NA,NA,NA,NA
"2120",1904,"Massachusetts","445,100","257,813","57.9","16","165,746","37.2","Â",NA,NA,NA,NA,NA,NA
"2220",1904,"Michigan","520,443","361,863","69.5","14","134,163","25.8","Â",NA,NA,NA,NA,NA,NA
"2320",1904,"Minnesota","292,860","216,651","74.0","11","55,187","18.8","Â",NA,NA,NA,NA,NA,NA
"2420",1904,"Mississippi","58,721","3,280","5.6","Â","53,480","91.1","10",NA,NA,NA,NA,NA,NA
"2520",1904,"Missouri","643,861","321,449","49.9","18","296,312","46.0","Â",NA,NA,NA,NA,NA,NA
"2620",1904,"Montana","63,568","33,994","53.5","3","21,816","34.3","Â",NA,NA,NA,NA,NA,NA
"2720",1904,"Nebraska","225,732","138,558","61.4","8","52,921","23.4","Â",NA,NA,NA,NA,NA,NA
"2819",1904,"Nevada","12,115","6,864","56.7","3","3,982","32.9","Â",NA,NA,NA,NA,NA,NA
"2919",1904,"New Hampshire","90,151","54,157","60.1","4","34,071","37.8","Â",NA,NA,NA,NA,NA,NA
"3016",1904,"New Jersey","432,547","245,164","56.7","12","164,566","38.0","Â",NA,NA,NA,NA,NA,NA
"3115",1904,"New York","1,617,765","859,533","53.1","39","683,981","42.3","Â",NA,NA,NA,NA,NA,NA
"3213",1904,"North Carolina","207,818","82,442","39.7","Â","124,091","59.7","12",NA,NA,NA,NA,NA,NA
"3313",1904,"North Dakota","70,279","52,595","74.8","4","14,273","20.3","Â",NA,NA,NA,NA,NA,NA
